Batch_ID,Timestamp,Speed_Raw,Temp_Raw,Viscosity_Raw,MassFrac_Raw,MixTime_Raw,HeatTime_Raw,ColdTime_Raw,Phase_Val,Quality_Val,Code_Speed,Code_Temp,Code_Visc,Code_MassFrac,Code_Phase,Code_Quality,Transaction_Itemset
B2023-0000,1768223346.612141,76.34,40.93,0.3977,3.86,8.05,3.93,6.71,1,1,N_6080,T_4050,V_0045,WF_0005,PH_1,Q_F,"Speed: N_6080, Temp: T_4050, Visc: V_0045, Quality: Q_F"
B2023-0001,1768223406.612141,37.8,44.56,0.2679,12.91,7.24,5.37,5.88,2,0,N_2040,T_4050,V_0045,WF_0515,PH_2,Q_P,"Speed: N_2040, Temp: T_4050, Visc: V_0045, Quality: Q_P"
B2023-0002,1768223466.612141,36.58,43.13,0.2499,13.58,6.36,8.92,8.42,2,0,N_2040,T_4050,V_0045,WF_0515,PH_2,Q_P,"Speed: N_2040, Temp: T_4050, Visc: V_0045, Quality: Q_P"
B2023-0003,1768223526.612141,38.0,38.88,0.2529,8.73,8.83,4.38,6.04,1,0,N_2040,T_3040,V_0045,WF_0515,PH_1,Q_P,"Speed: N_2040, Temp: T_3040, Visc: V_0045, Quality: Q_P"
B2023-0004,1768223586.612141,37.93,34.69,0.1718,5.59,3.52,8.32,8.49,1,0,N_2040,T_3040,V_0045,WF_0515,PH_1,Q_P,"Speed: N_2040, Temp: T_3040, Visc: V_0045, Quality: Q_P"
B2023-0005,1768223646.612141,35.97,42.93,0.2928,10.87,4.65,3.36,6.12,2,0,N_2040,T_4050,V_0045,WF_0515,PH_2,Q_P,"Speed: N_2040, Temp: T_4050, Visc: V_0045, Quality: Q_P"
B2023-0006,1768223706.612141,38.79,27.47,0.1858,7.93,8.55,8.93,5.73,1,0,N_2040,T_2030,V_0045,WF_0515,PH_1,Q_P,"Speed: N_2040, Temp: T_2030, Visc: V_0045, Quality: Q_P"
B2023-0007,1768223766.612141,11.27,22.4,0.4889,3.75,5.1,7.73,6.83,1,1,N_0020,T_2030,V_4550,WF_0005,PH_1,Q_F,"Speed: N_0020, Temp: T_2030, Visc: V_4550, Quality: Q_F"
B2023-0008,1768223826.612141,22.76,26.0,0.2503,7.91,8.06,5.66,7.95,1,0,N_2040,T_2030,V_0045,WF_0515,PH_1,Q_P,"Speed: N_2040, Temp: T_2030, Visc: V_0045, Quality: Q_P"
B2023-0009,1768223886.612141,31.67,34.71,0.2064,13.3,2.56,3.89,7.62,1,0,N_2040,T_3040,V_0045,WF_0515,PH_1,Q_P,"Speed: N_2040, Temp: T_3040, Visc: V_0045, Quality: Q_P"
